"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
frequency_contact_d2_hh_17,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_17]=""1""",y,,,,,
known_contact_d2_hh_17,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_17]=""1""",y,,,,,
contact_id_d2_hh_18,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][18]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 18",y,,,,,
touch_contact_d2_hh_18,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_18]=""1""",y,,,,,
where_contact_d2_hh_18,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_18]=""1""",y,,,,,
location_contact_d2_hh_18,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_18]=""1""",y,,,,,
location_contact_other_d2_18,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_18(12)]=""1""",y,,,,,
contact_mask_d2_hh_18,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_18]=""1""",y,,,,,
duration_contact_d2_hh_18,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_18]=""1""",y,,,,,
frequency_contact_d2_hh_18,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_18]=""1""",y,,,,,
known_contact_d2_hh_18,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_18]=""1""",y,,,,,
contact_id_d2_hh_19,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][19]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 19",y,,,,,
touch_contact_d2_hh_19,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_19]=""1""",y,,,,,
where_contact_d2_hh_19,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_19]=""1""",y,,,,,
location_contact_d2_hh_19,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_19]=""1""",y,,,,,
location_contact_other_d2_19,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_19(12)]=""1""",y,,,,,
contact_mask_d2_hh_19,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_19]=""1""",y,,,,,
duration_contact_d2_hh_19,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_19]=""1""",y,,,,,
frequency_contact_d2_hh_19,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_19]=""1""",y,,,,,
known_contact_d2_hh_19,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_19]=""1""",y,,,,,
contact_id_d2_hh_20,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][20]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 20",y,,,,,
touch_contact_d2_hh_20,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_20]=""1""",y,,,,,
where_contact_d2_hh_20,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_20]=""1""",y,,,,,
location_contact_d2_hh_20,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_20]=""1""",y,,,,,
location_contact_other_d2_20,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_20(12)]=""1""",y,,,,,
contact_mask_d2_hh_20,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_20]=""1""",y,,,,,
duration_contact_d2_hh_20,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_20]=""1""",y,,,,,
frequency_contact_d2_hh_20,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_20]=""1""",y,,,,,
known_contact_d2_hh_20,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_20]=""1""",y,,,,,
contact_id_d2_hh_21,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][21]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 21",y,,,,,
touch_contact_d2_hh_21,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_21]=""1""",y,,,,,
where_contact_d2_hh_21,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_21]=""1""",y,,,,,
location_contact_d2_hh_21,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_21]=""1""",y,,,,,
location_contact_other_d2_21,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_21(12)]=""1""",y,,,,,
contact_mask_d2_hh_21,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_21]=""1""",y,,,,,
duration_contact_d2_hh_21,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_21]=""1""",y,,,,,
frequency_contact_d2_hh_21,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_21]=""1""",y,,,,,
known_contact_d2_hh_21,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_21]=""1""",y,,,,,
contact_id_d2_hh_22,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][22]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 22",y,,,,,
touch_contact_d2_hh_22,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_22]=""1""",y,,,,,
where_contact_d2_hh_22,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_22]=""1""",y,,,,,
location_contact_d2_hh_22,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_22]=""1""",y,,,,,
location_contact_other_d2_22,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_22(12)]=""1""",y,,,,,
contact_mask_d2_hh_22,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_22]=""1""",y,,,,,
duration_contact_d2_hh_22,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_22]=""1""",y,,,,,
frequency_contact_d2_hh_22,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_22]=""1""",y,,,,,
known_contact_d2_hh_22,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_22]=""1""",y,,,,,
contact_id_d2_hh_23,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][23]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 23",y,,,,,
touch_contact_d2_hh_23,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_23]=""1""",y,,,,,
where_contact_d2_hh_23,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_23]=""1""",y,,,,,
location_contact_d2_hh_23,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_23]=""1""",y,,,,,
location_contact_other_d2_23,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_23(12)]=""1""",y,,,,,
contact_mask_d2_hh_23,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_23]=""1""",y,,,,,
duration_contact_d2_hh_23,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_23]=""1""",y,,,,,
frequency_contact_d2_hh_23,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_23]=""1""",y,,,,,
known_contact_d2_hh_23,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_23]=""1""",y,,,,,
contact_id_d2_hh_24,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][24]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 24",y,,,,,
touch_contact_d2_hh_24,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_24]=""1""",y,,,,,
where_contact_d2_hh_24,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_24]=""1""",y,,,,,
location_contact_d2_hh_24,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_24]=""1""",y,,,,,
location_contact_other_d2_24,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_24(12)]=""1""",y,,,,,
contact_mask_d2_hh_24,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_24]=""1""",y,,,,,
duration_contact_d2_hh_24,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_24]=""1""",y,,,,,
frequency_contact_d2_hh_24,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_24]=""1""",y,,,,,
known_contact_d2_hh_24,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_24]=""1""",y,,,,,
contact_id_d2_hh_25,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][25]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 25",y,,,,,
touch_contact_d2_hh_25,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_25]=""1""",y,,,,,
where_contact_d2_hh_25,contact_day_2_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d2_hh_25]=""1""",y,,,,,
location_contact_d2_hh_25,contact_day_2_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d2_hh_25]=""1""",y,,,,,
location_contact_other_d2_25,contact_day_2_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d2_hh_25(12)]=""1""",y,,,,,
contact_mask_d2_hh_25,contact_day_2_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d2_hh_25]=""1""",y,,,,,
duration_contact_d2_hh_25,contact_day_2_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d2_hh_25]=""1""",y,,,,,
frequency_contact_d2_hh_25,contact_day_2_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d2_hh_25]=""1""",y,,,,,
known_contact_d2_hh_25,contact_day_2_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d2_hh_25]=""1""",y,,,,,
contact_id_d2_hh_26,contact_day_2_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][26]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 26",y,,,,,
touch_contact_d2_hh_26,contact_day_2_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d2_hh_26]=""1""",y,,,,,
